Subject 1,Subject 2,Relationship1,Relationship2
Maria_Shriver,Anthony_Shriver,Sister,Brother
Maria_Shriver,Bobby_Shriver,Sister,Brother
Maria_Shriver,Mark_Shriver,Sister,Brother
Maria_Shriver,Timothy_Shriver,Sister,Brother
Anthony_Shriver,Bobby_Shriver,Brother,Brother
Anthony_Shriver,Mark_Shriver,Brother,Brother
Anthony_Shriver,Timothy_Shriver,Brother,Brother
Bobby_Shriver,Mark_Shriver,Brother,Brother
Bobby_Shriver,Timothy_Shriver,Brother,Brother
Mark_Shriver,Timothy_Shriver,Brother,Brother
Kara_Kennedy,Edward_M_Kennedy_Jr,Sister,Brother
Kara_Kennedy,Patrick_J_Kennedy,Sister,Brother
Edward_M_Kennedy_Jr,Patrick_J_Kennedy,Brother,Brother
Kathleen_Kennedy_Townsend,Joseph_P_Kennedy_II,Sister,Brother
Kathleen_Kennedy_Townsend,Robert_F_Kennedy_Jr,Sister,Brother
Kathleen_Kennedy_Townsend,Kerry_Kennedy,Sister,Sister
Kathleen_Kennedy_Townsend,Christopher_G_Kennedy,Sister,Brother
Kathleen_Kennedy_Townsend,Max_Kennedy,Sister,Brother
Kathleen_Kennedy_Townsend,Rory_Kennedy,Sister,Sister
Joseph_P_Kennedy_II,Robert_F_Kennedy_Jr,Brother,Brother
Joseph_P_Kennedy_II,Kerry_Kennedy,Brother,Sister
Joseph_P_Kennedy_II,Christopher_G_Kennedy,Brother,Brother
Joseph_P_Kennedy_II,Max_Kennedy,Brother,Brother
Joseph_P_Kennedy_II,Rory_Kennedy,Brother,Sister
Robert_F_Kennedy_Jr,Kerry_Kennedy,Brother,Sister
Robert_F_Kennedy_Jr,Christopher_G_Kennedy,Brother,Brother
Robert_F_Kennedy_Jr,Max_Kennedy,Brother,Brother
Robert_F_Kennedy_Jr,Rory_Kennedy,Brother,Sister
Kerry_Kennedy,Christopher_G_Kennedy,Sister,Brother
Kerry_Kennedy,Max_Kennedy,Sister,Brother
Kerry_Kennedy,Rory_Kennedy,Sister,Sister
Christopher_G_Kennedy,Max_Kennedy,Brother,Brother
Christopher_G_Kennedy,Rory_Kennedy,Brother,Sister
Max_Kennedy,Rory_Kennedy,Brother,Sister
Donnie_Wahlberg,Mark_Wahlberg,Brother,Brother
Patti_Davis,Ron_Reagan,Sister,Brother
Barbara_Pierce_Bush,Jenna_Bush_Hager,Sister,Sister
Yvonne_Zima,Vanessa_Zima,Sister,Sister
Yvonne_Zima,Madeline_Zima,Sister,Sister
Vanessa_Zima,Madeline_Zima,Sister,Sister
Kim_Richards,Kyle_Richards,Sister,Sister
Mickey_Rooney_Jr,Tim_Rooney,Brother,Brother
Mindy_Feldman,Corey_Feldman,Sister,Brother
Matthildi_Magira,Mpeti_Magira,Sister,Sister
Kendall_Jenner,Kylie_Jenner,Sister,Sister
Vanessa_Paradis,Alysson_Paradis,Sister,Sister
Georgios_Papandreou,Andreas_Jr_Papandreou,Brother,Brother
Georgios_Papandreou,Sofia_Papandreou,Brother,Sister
Andreas_Jr_Papandreou,Sofia_Papandreou,Brother,Sister
Nikos_Papandreou,Georgios_Papandreou,Brother,Brother
Nikos_Papandreou,Andreas_Jr_Papandreou,Brother,Brother
Nikos_Papandreou,Sofia_Papandreou,Brother,Sister
